Data;Hora;Duracao;Numero;Destino;Tipo;Valor
18/05/2026;13:26:06;00:00:30;3444-9894;LIMEIRA;VOZ;0,05
19/05/2026;09:32:48;00:00:30;3543-8300;ARARAS;VOZ;0,05
26/05/2026;15:05:42;00:10:12;3561-6613;PIRASSUNUNGA;VOZ;1,12
27/05/2026;12:23:06;00:00:30;3561-1657;PIRASSUNUNGA;VOZ;0,05
27/05/2026;12:24:00;00:00:42;3561-1657;PIRASSUNUNGA;VOZ;0,07
27/05/2026;12:39:06;00:02:30;3561-6613;PIRASSUNUNGA;VOZ;0,27
29/05/2026;08:58:42;00:00:54;3561-1322;PIRASSUNUNGA;VOZ;0,09
29/05/2026;09:14:30;00:04:00;3526-6114;R CLARO;VOZ;0,43
01/06/2026;11:38:36;00:03:54;3563-1372;PIRASSUNUNGA;VOZ;0,42
01/06/2026;13:35:12;00:00:48;3571-5600;LEME;VOZ;0,08
01/06/2026;14:40:48;00:01:12;3561-8684;PIRASSUNUNGA;VOZ;0,13
02/06/2026;09:52:06;00:01:36;3565-2599;PIRASSUNUNGA;VOZ;0,17
02/06/2026;13:16:06;00:02:42;3563-1268;PIRASSUNUNGA;VOZ;0,29
03/06/2026;09:58:42;00:00:36;3573-5201;LEME;VOZ;0,06
03/06/2026;10:45:42;00:01:36;3565-8410;PIRASSUNUNGA;VOZ;0,17
03/06/2026;11:32:06;00:03:30;3571-9387;LEME;VOZ;0,38
09/06/2026;10:17:12;00:01:48;3561-2056;PIRASSUNUNGA;VOZ;0,19
09/06/2026;10:40:30;00:02:06;3554-5550;PIRACICABA;VOZ;0,23
10/06/2026;10:50:00;00:00:30;3565-3040;PIRASSUNUNGA;VOZ;0,05
10/06/2026;10:51:24;00:03:36;3561-3331;PIRASSUNUNGA;VOZ;0,39
12/06/2026;08:55:12;00:05:48;3563-0069;PIRASSUNUNGA;VOZ;0,63
12/06/2026;09:09:24;00:07:24;3561-3203;PIRASSUNUNGA;VOZ;0,81
12/06/2026;11:04:48;00:08:48;3562-8818;PIRASSUNUNGA;VOZ;0,96
16/06/2026;11:09:36;00:02:18;3565-3040;PIRASSUNUNGA;VOZ;0,25
18/06/2026;09:24:42;00:01:36;3565-3040;PIRASSUNUNGA;VOZ;0,17
18/06/2026;09:30:42;00:13:18;3554-5550;PIRACICABA;VOZ;1,46
23/06/2026;09:27:06;00:01:42;3352-7021;ARARAS;VOZ;0,18
26/05/2026;11:14:00;00:00:30;99800-5377;AREA-019 VIVO;VC1;0,30
26/05/2026;11:48:24;00:00:42;99804-8244;AREA-019 VIVO;VC1;0,43
26/05/2026;12:44:12;00:02:00;98291-0556;AREA-019 VIVO;VC1;1,23
26/05/2026;12:48:12;00:00:30;99748-4290;AREA-019 VIVO;VC1;0,30
26/05/2026;12:49:24;00:00:54;99748-4290;AREA-019 VIVO;VC1;0,55
26/05/2026;13:14:30;00:00:36;99114-6699;AREA-019 CLARO;VC1;0,37
26/05/2026;13:16:48;00:00:42;99946-8594;AREA-019 VIVO;VC1;0,43
26/05/2026;14:16:06;00:00:30;98225-4346;AREA-019 TIM;VC1;0,30
26/05/2026;14:46:30;00:03:06;93501-0478;AREA-019 VIVO;VC1;1,92
26/05/2026;14:52:48;00:01:12;93501-0478;AREA-019 VIVO;VC1;0,74
27/05/2026;10:58:36;00:01:36;99801-3537;AREA-019 VIVO;VC1;0,99
27/05/2026;11:35:24;00:01:54;99602-6603;AREA-019 VIVO;VC1;1,17
27/05/2026;11:39:06;00:01:36;99867-7786;AREA-019 CLARO;VC1;0,99
28/05/2026;08:23:00;00:09:12;98976-2798;AREA-019 CLARO;VC1;5,70
28/05/2026;08:36:42;00:00:30;99330-7777;AREA-019 VIVO;VC1;0,30
28/05/2026;08:52:42;00:05:12;99330-7777;AREA-019 VIVO;VC1;3,22
28/05/2026;09:08:30;00:06:06;99887-4022;AREA-019 VIVO;VC1;3,78
28/05/2026;09:28:36;00:00:30;99290-2332;AREA-019 CLARO;VC1;0,30
28/05/2026;10:45:48;00:00:30;99962-6098;AREA-019 VIVO;VC1;0,30
28/05/2026;11:58:06;00:00:30;99962-6098;AREA-019 VIVO;VC1;0,30
28/05/2026;13:06:12;00:04:54;99330-7777;AREA-019 VIVO;VC1;3,03
28/05/2026;14:11:30;00:00:30;98250-1031;AREA-019 TIM;VC1;0,30
28/05/2026;14:23:00;00:00:30;99740-2771;AREA-019 VIVO;VC1;0,30
29/05/2026;07:48:24;00:03:00;99330-7777;AREA-019 VIVO;VC1;1,85
29/05/2026;08:18:18;00:00:36;97829-4376;AREA-019 CLARO;VC1;0,37
29/05/2026;08:23:30;00:00:30;97829-4376;AREA-019 CLARO;VC1;0,30
29/05/2026;08:27:24;00:00:30;98109-6281;AREA-019 TIM;VC1;0,30
29/05/2026;08:36:54;00:00:30;99492-8036;AREA-019 CLARO;VC1;0,30
29/05/2026;10:10:18;00:02:54;99330-7777;AREA-019 VIVO;VC1;1,79
29/05/2026;10:38:48;00:02:30;99163-6158;AREA-019 CLARO;VC1;1,54
29/05/2026;11:03:00;00:08:36;98976-2798;AREA-019 CLARO;VC1;5,33
29/05/2026;11:29:12;00:00:36;98976-2798;AREA-019 CLARO;VC1;0,37
31/05/2026;13:12:42;00:00:30;99962-6098;AREA-019 VIVO;VC1;0,30
01/06/2026;13:07:00;00:02:54;99678-4206;AREA-019 VIVO;VC1;1,79
01/06/2026;13:20:54;00:04:06;99163-6158;AREA-019 CLARO;VC1;2,54
01/06/2026;13:37:42;00:00:30;99602-6603;AREA-019 VIVO;VC1;0,30
